function_address	owner	field_offset	rendered_alias	status	detail
004FF380	CPanelTy	2965	piVar10	disabled	apply=0
00510E30	HelpPanelTy	443	pUVar15	disabled	apply=0
00510E30	HelpPanelTy	443	pUVar18	disabled	apply=0
00510E30	HelpPanelTy	443	pvVar6	disabled	apply=0
00514330	HelpPanelTy	459	puVar6	disabled	apply=0
005145E0	HelpPanelTy	459	puVar6	disabled	apply=0
0051DDD0	HelpPanelTy	443	local_1c	disabled	apply=0
0051DDD0	HelpPanelTy	443	local_8	disabled	apply=0
0068E290	AiTactClassTy	165	puVar4	disabled	apply=0
0068E480	AiTactClassTy	165	puVar5	disabled	apply=0
0068E610	AiTactClassTy	165	puVar1	disabled	apply=0
0068E730	AiTactClassTy	165	puVar3	disabled	apply=0
0068EC70	AiTactClassTy	165	puVar10	disabled	apply=0
0068EC70	AiTactClassTy	165	puVar13	disabled	apply=0
0068F020	AiTactClassTy	165	puVar7	disabled	apply=0
0068F020	AiTactClassTy	165	this_01	disabled	apply=0
0068F360	AiTactClassTy	165	pAVar9	disabled	apply=0
0068FD00	AiTactClassTy	165	puVar5	disabled	apply=0
00690230	AiTactClassTy	165	puVar1	disabled	apply=0
006902B0	AiTactClassTy	165	puVar1	disabled	apply=0
00690650	AiTactClassTy	165	puVar11	disabled	apply=0
00690B90	AiTactClassTy	165	puVar7	disabled	apply=0
004F0210	BldLabPanelTy	634	pGVar5	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
005325B0	OptPanelTy	765	puVar13	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
00533D10	OptPanelTy	765	puVar25	conflict	merge-group split failed: multiple DArray assignment varnodes
00555D90	TraksClassTy	36	psVar3	conflict	merge-group split failed: multiple DArray assignment varnodes
00556170	TraksClassTy	36	psVar6	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
00558840	VisibleClassTy	272	pcVar4	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
0055B7F0	VisibleClassTy	272	pcVar1	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
005A4350	FSGSTy	7870	local_10	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
005A4350	FSGSTy	7870	local_8	conflict	merge-group split failed: mixed rendered local belongs to one inseparable merge group
005CD430	SettMapMTy	8068	pcVar7	conflict	merge-group split failed: multiple DArray assignment varnodes
005CDB20	SettMapMTy	8068	pcVar7	conflict	merge-group split failed: multiple DArray assignment varnodes
005CE0E0	SettMapMTy	8068	pcVar7	conflict	merge-group split failed: multiple DArray assignment varnodes
